Threshold,TPR,FDR,FTA,Lead Time
0.1,1.0,0.8523001916761548,0.31597263009331017,-1.06043062904174
0.15000000000000002,0.9444444444444444,0.8389393509530317,0.3291225039460244,-0.9800073486184598
0.20000000000000004,0.9444444444444444,0.8358823972600811,0.34384834052744745,-0.9313447971781306
0.25000000000000006,0.9444444444444444,0.8282722837584076,0.35056151269292013,-0.9226440329218106
0.30000000000000004,0.9444444444444444,0.8196785973463677,0.35548724248744057,-0.8930144032921812
0.3500000000000001,0.9444444444444444,0.8068340987550511,0.36462091539012614,-0.794866255144033
0.40000000000000013,0.9444444444444444,0.7964650164141763,0.3686219400376384,-0.7803343621399177
0.45000000000000007,0.9444444444444444,0.787764606060187,0.37085828991126585,-0.7403505291005291
0.5000000000000001,0.9444444444444444,0.7847974824918904,0.3806314443350062,-0.6801139035861259
0.5500000000000002,0.9444444444444444,0.7826077520445246,0.3867451846576163,-0.609809670781893
0.6000000000000002,0.925925925925926,0.7859740165226412,0.397383430519112,-0.5837433862433863
0.6500000000000001,0.925925925925926,0.7852939221516297,0.41526718518174294,-0.13908583186360968
0.7000000000000002,0.925925925925926,0.7654061169829695,0.4314421943571754,0.02283656672545562
0.7500000000000002,0.9012345679012346,0.7669503449121037,0.4494199934219347,0.13663252801120446
0.8000000000000002,0.8827160493827161,0.7418736503545603,0.4814832438106625,0.17321428571428574
0.8500000000000002,0.845679012345679,0.7503414614359591,0.5828278867214771,0.20605654761904763
0.9000000000000002,0.8234567901234568,0.689390057060466,0.68048716539595,0.4718745461147422
0.9500000000000003,0.8089668615984404,0.6623484848484849,0.7125321600030509,0.5287815990593768
