Threshold,TPR,FDR,FTA,Lead Time
0.1,0.9814814814814815,0.8534961019847368,0.3458259288643915,-0.8496180555555555
0.15000000000000002,0.9629629629629629,0.8244780070575671,0.3528420007362322,-0.4806828703703704
0.20000000000000004,0.9074074074074073,0.8230519492446323,0.3606466098147947,-0.5721553497942388
0.25000000000000006,0.9126984126984128,0.8101769460937855,0.3725752521725784,-0.49970458553791886
0.30000000000000004,0.9126984126984128,0.7880017763877998,0.38143544959919523,-0.3461008230452675
0.3500000000000001,0.9074074074074073,0.7595755644468754,0.3965051559157618,-0.5274617871840094
0.40000000000000013,0.9074074074074073,0.7437319255293006,0.409445647821946,-0.49593621399176946
0.45000000000000007,0.9074074074074073,0.7288546564323681,0.4195285850809076,-0.4182613168724279
0.5000000000000001,0.9074074074074073,0.7169397796760574,0.43128526613665014,-0.3531632462188018
0.5500000000000002,0.9074074074074073,0.7003568894873243,0.4487341231877495,-0.30991996686441126
0.6000000000000002,0.9126984126984128,0.7423853071547539,0.4677485142792937,-0.1966860402971514
0.6500000000000001,0.9074074074074073,0.7314544292025111,0.47303098347813244,0.030988455988455985
0.7000000000000002,0.9074074074074073,0.7187546904750952,0.48758416910685054,0.08584466216045167
0.7500000000000002,0.9153439153439152,0.6646335325772589,0.509603233812962,0.28537925551814447
0.8000000000000002,0.9212962962962963,0.6663228244559252,0.5587186804902289,0.5270588002532448
0.8500000000000002,0.9023569023569024,0.48443602693602694,0.6747449611142131,0.607528659611993
0.9000000000000002,0.8747987117552335,0.5321914480077745,0.7782866215920531,0.6509806397306398
0.9500000000000003,0.6822128851540616,0.3865914786967418,0.8818533697632058,1.136441798941799
