Threshold,TPR,FDR,FTA,Lead Time
0.1,1.0,0.950813441866309,0.17615435527309825,-2.801732804232804
0.15000000000000002,0.9444444444444444,0.9460968663696014,0.18921765769816667,-2.4680671296296293
0.20000000000000004,0.9444444444444444,0.9417579694788937,0.20020828769195312,-2.407158564814815
0.25000000000000006,0.9444444444444444,0.934380717087675,0.21112749465319805,-2.596853741496599
0.30000000000000004,0.9444444444444444,0.925149857294808,0.22426174408192123,-2.1362020502645507
0.3500000000000001,0.9444444444444444,0.914075152105671,0.23979470378851303,-1.0254068462401795
0.40000000000000013,0.9444444444444444,0.9094342238324742,0.25519803220080695,-0.6773809523809524
0.45000000000000007,0.9444444444444444,0.8888052892568447,0.269182747614903,-0.4321591014573471
0.5000000000000001,0.9444444444444444,0.874429302085976,0.27644739777066873,-0.11061012168468307
0.5500000000000002,0.9285714285714286,0.8656741475892932,0.29102432852071614,0.11623641304347822
0.6000000000000002,0.9305555555555556,0.8557640186115004,0.3219380198589766,0.34719742063492065
0.6500000000000001,0.9166666666666666,0.8412236667286602,0.35361147018222555,0.49378301127214175
0.7000000000000002,0.9082539682539683,0.8099519938102184,0.36983377633808295,0.7761742771117771
0.7500000000000002,0.898809523809524,0.7902724379864406,0.40871616850986925,0.9914236111111111
0.8000000000000002,0.8931216931216931,0.7837995627414098,0.5119956033172168,0.9675047892720308
0.8500000000000002,0.8719135802469136,0.7145995594619448,0.6146967962519102,1.0092287435807656
0.9000000000000002,0.8608024691358024,0.6465905147484096,0.6875085014663267,1.102659119203237
0.9500000000000003,0.858474730888524,0.5950880820612622,0.7561680597892998,0.8198604077914423
