Threshold,TPR,FDR,FTA,Avg Lead Time
0.1,0.9516129032258065,0.1917808219178082,0.5332235035694673,-1.568926553672316
0.15000000000000002,0.9508196721311475,0.17142857142857143,0.5371923743500867,-1.6066091954022987
0.20000000000000004,0.9508196721311475,0.17142857142857143,0.5404707032614009,-1.59683908045977
0.25000000000000006,0.9508196721311475,0.13432835820895522,0.5434400281392895,-1.5856321839080458
0.30000000000000004,0.9508196721311475,0.13432835820895522,0.5455316742081447,-1.568103448275862
0.3500000000000001,0.9508196721311475,0.13432835820895522,0.5476173567218238,-1.5586206896551722
0.40000000000000013,0.9508196721311475,0.12121212121212122,0.5492335115864527,-1.5517241379310343
0.45000000000000007,0.9508196721311475,0.12121212121212122,0.5501537141631515,-1.5462643678160917
0.5000000000000001,0.9508196721311475,0.12121212121212122,0.5515804597701149,-1.535344827586207
0.5500000000000002,0.9508196721311475,0.12121212121212122,0.5524173211326464,-1.529310344827586
0.6000000000000002,0.9508196721311475,0.1076923076923077,0.5534604825892212,-1.5241379310344827
0.6500000000000001,0.9508196721311475,0.1076923076923077,0.5544848572670628,-1.5172413793103445
0.7000000000000002,0.9508196721311475,0.1076923076923077,0.55558785060311,-1.5106321839080459
0.7500000000000002,0.9516129032258065,0.10606060606060606,0.5567145670727259,-1.4751412429378528
0.8000000000000002,0.9516129032258065,0.10606060606060606,0.5576697892271663,-1.4669491525423726
