Threshold,TPR,FDR,FTA,Avg Lead Time
0.1,0.9516129032258065,0.313953488372093,0.4684832183370366,-1.8132768361581921
0.15000000000000002,0.9516129032258065,0.3058823529411765,0.47413228552717746,-1.7703389830508476
0.20000000000000004,0.9508196721311475,0.2926829268292683,0.4787593531257543,-1.802586206896552
0.25000000000000006,0.9508196721311475,0.2926829268292683,0.4822604242867593,-1.7761494252873566
0.30000000000000004,0.9508196721311475,0.30120481927710846,0.4863748458692972,-1.7390804597701148
0.3500000000000001,0.9508196721311475,0.30120481927710846,0.49006044743565774,-1.7178160919540229
0.40000000000000013,0.9508196721311475,0.30952380952380953,0.4936071046167412,-1.6804597701149424
0.45000000000000007,0.9508196721311475,0.30952380952380953,0.4989479053752471,-1.6597701149425288
0.5000000000000001,0.9508196721311475,0.30952380952380953,0.5048235674975721,-1.638793103448276
0.5500000000000002,0.9508196721311475,0.32558139534883723,0.5098617390734552,-1.5798850574712644
0.6000000000000002,0.9508196721311475,0.34831460674157305,0.5162855623504388,-1.5327586206896553
0.6500000000000001,0.9508196721311475,0.3333333333333333,0.5233461720386513,-1.5054597701149428
0.7000000000000002,0.9508196721311475,0.32558139534883723,0.5288803722967425,-1.4862068965517239
0.7500000000000002,0.9516129032258065,0.3218390804597701,0.535726709803103,-1.4087570621468923
0.8000000000000002,0.9516129032258065,0.33707865168539325,0.5438098616530684,-1.3629943502824857
