Threshold,TPR,FDR,FTA,Avg Lead Time
0.1,1.0,0.7715355805243446,0.3059327036599764,-2.245081967213115
0.15000000000000002,1.0,0.7368421052631579,0.32759643916913944,-2.221111111111111
0.20000000000000004,1.0,0.7109004739336493,0.34319305388226495,-2.1319672131147542
0.25000000000000006,1.0,0.695,0.35353621945992286,-2.1106557377049184
0.30000000000000004,1.0,0.6825396825396826,0.3634839392869749,-2.101944444444445
0.3500000000000001,1.0,0.6685082872928176,0.3737905973200091,-2.0788888888888892
0.40000000000000013,1.0,0.6374269005847953,0.390223424600028,-2.0037634408602156
0.45000000000000007,1.0,0.6172839506172839,0.39895878110522043,-1.9870967741935486
0.5000000000000001,1.0,0.5947712418300654,0.4073024096974437,-1.9594086021505372
0.5500000000000002,1.0,0.5878378378378378,0.41562921853907303,-2.011475409836065
0.6000000000000002,1.0,0.5734265734265734,0.4244331849122268,-1.9937158469945353
0.6500000000000001,1.0,0.52,0.4332094046185265,-2.0180555555555553
0.7000000000000002,1.0,0.45045045045045046,0.4455798864557989,-1.9204918032786884
0.7500000000000002,0.9838709677419355,0.3838383838383838,0.4581049334377447,-1.8489071038251366
0.8000000000000002,0.9838709677419355,0.3146067415730337,0.46849441308605,-1.8794444444444445
