Threshold,TPR,FDR,FTA,Lead Time
0.05,1.0,0.8594523036012558,0.28114843555506835,-1.5796362433862432
0.1,0.9444444444444444,0.8389800871128574,0.30118419704441535,-1.254639917695473
0.15000000000000002,0.9444444444444444,0.8389085458598402,0.32489538199459306,-1.205301293356849
0.2,0.9444444444444444,0.8271167052874595,0.3412790052293579,-1.289446097883598
0.25,0.9444444444444444,0.8053009803108618,0.3518053860632938,-1.2094031084656085
0.3,0.9444444444444444,0.7993934251717563,0.3575293084680579,-0.5540337823725981
0.35000000000000003,0.9444444444444444,0.794186474234871,0.36803810159203454,-0.5436745509607351
0.4,0.9444444444444444,0.7717890163410871,0.3680867394668516,-0.5200016534391534
0.45,0.9444444444444444,0.7716434703276808,0.37355077239475853,-0.4066681363903586
0.5,0.9444444444444444,0.7682329919172024,0.37498584157217446,-0.383887419165197
0.55,0.925925925925926,0.769108553984715,0.3808870683381303,-0.3789373897707231
0.6000000000000001,0.9074074074074073,0.7792636881911323,0.3899523485955584,-0.35856407995296885
0.6500000000000001,0.9074074074074073,0.7775802129968796,0.39752856028413214,-0.32852292768959435
0.7000000000000001,0.9074074074074073,0.7764930405304736,0.41299417049018217,-0.2221002351557907
0.7500000000000001,0.9074074074074073,0.7775186832494548,0.42090664763878954,-0.1631349206349206
0.8,0.8888888888888888,0.7820664293984453,0.43582258015107783,-0.12684744268077602
0.8500000000000001,0.8827160493827161,0.777092368016215,0.4615007973153036,-0.03327186430127603
0.9000000000000001,0.9012345679012346,0.7186597866555561,0.5000490462929437,0.44454088801382063
0.9500000000000001,0.8507936507936509,0.6301303782806452,0.708918477925955,0.5344135802469135
