Threshold,TPR,FDR,FTA,Lead Time
0.1,1.0,0.9346252305393743,0.2101365511182299,-2.2826339285714288
0.15000000000000002,0.9444444444444444,0.9243721704061362,0.22925257250849368,-1.7870651455026456
0.20000000000000004,0.9444444444444444,0.9185330583385788,0.24919890884648968,-1.3562088477366254
0.25000000000000006,0.9444444444444444,0.9051978639132439,0.26750467528213107,-1.2151594650205761
0.30000000000000004,0.9444444444444444,0.8966045475610186,0.2823847085443457,-1.1083173210804789
0.3500000000000001,0.9444444444444444,0.8822326174007042,0.2987471108932118,-0.4012889476778366
0.40000000000000013,0.925925925925926,0.8635489031275934,0.3144183059557221,-0.36563345091122873
0.45000000000000007,0.9074074074074073,0.8514304078892984,0.33337055665306314,-0.36435479129923576
0.5000000000000001,0.9126984126984128,0.8223410721449674,0.3425361305083473,-0.2810097001763669
0.5500000000000002,0.9126984126984128,0.822722117619622,0.3496874351668256,-0.2356687242798354
0.6000000000000002,0.9126984126984128,0.8188132655483625,0.364116646171953,-0.12864050558495
0.6500000000000001,0.8968253968253967,0.7998951589748834,0.38368854121881757,0.07306443779873731
0.7000000000000002,0.8968253968253967,0.7811671063487428,0.41634692369409215,0.1213668430335097
0.7500000000000002,0.8604938271604938,0.7724065380805193,0.4921359377240962,0.36017481066500673
0.8000000000000002,0.8641975308641976,0.6693782216649794,0.5932480537706017,0.6159358288770053
0.8500000000000002,0.8611111111111112,0.7237949543746646,0.6547570723483241,0.604915381889066
0.9000000000000002,0.8338383838383838,0.6750019170309025,0.757051961981473,0.8045228174603174
0.9500000000000003,0.8270482603815937,0.42969755095714174,0.8222287159249336,0.7453725749559083
