Train Year,Test Year,TPR,FDR,FTA,Avg Lead Time
2020,2015,0.0,0.0,0.0,0.0
2020,2016,0.0,0.0,0.0,0.0
2020,2017,0.0,0.0,0.0,0.0
2020,2018,0.0,0.0,0.0,0.0
2020,2019,0.0,0.0,0.0,0.0
2020,2021,0.0,0.0,0.0,0.0
2020,2022,0.0,0.0,0.0,0.0
2020,2023,0.0,0.0,0.0,0.0
2021,2011,0.1111111111111111,0.9,0.03274161735700197,-6.116666666666667
2021,2012,0.2857142857142857,0.75,0.2740740740740741,-1.5833333333333333
2021,2013,0.45454545454545453,0.6153846153846154,0.21140994295028526,-7.075
2021,2014,1.0,0.9827586206896551,0.0006318259770737431,1.6666666666666667
2021,2015,0.5,0.7692307692307693,0.16732026143790849,-5.5
2021,2016,0.6666666666666666,0.9,0.0642110762800418,-1.875
2021,2017,0.0,1.0,0.0,0.0
2021,2018,0.5,0.5,0.15797101449275364,-3.8333333333333335
2021,2019,0.0,1.0,0.0,0.0
2021,2020,0.75,0.9888888888888889,0.0012060638208771881,-3.25
2021,2022,0.5,0.9915966386554622,0.0003918111470271329,-9.833333333333334
2021,2023,0.0,1.0,0.0,0.0
2022,2011,0.0,0.0,0.0,0.0
2022,2012,0.0,0.0,0.0,0.0
2022,2013,0.0,0.0,0.0,0.0
2022,2014,0.0,0.0,0.0,0.0
2022,2015,0.0,0.0,0.0,0.0
2022,2016,0.0,0.0,0.0,0.0
2022,2017,0.0,0.0,0.0,0.0
2022,2018,0.0,0.0,0.0,0.0
2022,2019,0.0,0.0,0.0,0.0
2022,2020,0.0,0.0,0.0,0.0
2022,2021,0.0,0.0,0.0,0.0
2022,2023,0.0,0.0,0.0,0.0
2023,2011,0.0,0.0,0.0,0.0
2023,2012,0.0,0.0,0.0,0.0
2023,2013,0.0,0.0,0.0,0.0
2023,2014,0.0,0.0,0.0,0.0
2023,2015,0.0,0.0,0.0,0.0
2023,2016,0.0,0.0,0.0,0.0
2023,2017,0.0,0.0,0.0,0.0
2023,2018,0.0,0.0,0.0,0.0
2023,2019,0.0,0.0,0.0,0.0
2023,2020,0.0,0.0,0.0,0.0
2023,2021,0.0,0.0,0.0,0.0
2023,2022,0.0,0.0,0.0,0.0
