Timesteps,Future Steps,Threshold,TPR,FDR,FTA,Lead Time
10,1,0.1,0.9444444444444444,0.8572317664335184,0.297245968311899,-1.2743048206937098
10,1,0.2,0.9444444444444444,0.8312721233712388,0.3218830430258609,-1.134269547325103
10,1,0.3,0.9444444444444444,0.8226444688803856,0.3477409549953661,-0.6412066431510876
10,1,0.4,0.9444444444444444,0.801074954721889,0.3757731343109945,-0.3117974720752497
10,1,0.5,0.9074074074074072,0.7988848251197461,0.401937380544518,-0.1459979423868312
10,1,0.6,0.8888888888888888,0.7869812532100667,0.4298789183066516,-0.0364711934156378
10,1,0.7000000000000001,0.9074074074074072,0.7667492812774747,0.5179002944759915,0.1927322163433274
10,1,0.8,0.879337231968811,0.7030803129332541,0.7017507416180251,0.6087860082304526
10,1,0.9,0.8198005698005698,0.5446685340802988,0.7521622733791344,0.7860833333333332
10,3,0.1,0.9444444444444444,0.8378943012521347,0.2865699416570075,-1.3895752498530276
10,3,0.2,0.9444444444444444,0.822801067021866,0.3244157047569022,-0.4399573780129335
10,3,0.3,0.9444444444444444,0.8007922191312442,0.3597734301597935,-0.2533171663727219
10,3,0.4,0.9285714285714286,0.7846510599311268,0.3734953661163327,-0.1661184597295708
10,3,0.5,0.9074074074074072,0.778331076038586,0.4321294712445643,-0.0154100529100529
10,3,0.6,0.8604938271604938,0.7089824022823156,0.5989997786489014,0.1498802834974145
10,3,0.7000000000000001,0.7592035644667223,0.5033822537112012,0.7675247896565143,0.7596359272875818
10,3,0.8,0.0,0.0,0.0,0.0
10,3,0.9,0.0,0.0,0.0,0.0
10,6,0.1,0.9629629629629628,0.8897199710758429,0.2986746070562874,-0.5336052322163434
10,6,0.2,0.9629629629629628,0.8645543173342723,0.3357237660023953,-0.4228147916086512
10,6,0.3,0.9629629629629628,0.8444453820292566,0.3459666315032664,-0.3746053791887125
10,6,0.4,0.9629629629629628,0.8377899211137197,0.3708350285430382,-0.3030510830949427
10,6,0.5,0.9412419938735728,0.8137596452245597,0.3994007313063685,0.2400860456416012
10,6,0.6,0.9020412457912458,0.7531066806178398,0.419889923874401,0.5772371031746032
10,6,0.7000000000000001,0.67562358276644,0.7444652184235517,0.6157675791733763,0.5706944444444444
10,6,0.8,0.0,1.0,0.0,0.0
10,6,0.9,0.0,0.0,0.0,0.0
